"chemical_id","chemical_name","CASRN","DTXSID","Morph.BMD10.x","Background_BMD","Excitatory_BMD","Refractory_BMD","Light_BMD","Dark_BMD","EPR.BMD","LPR.BMD","Classification","Fluorinated.Carbons","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","Morph.BMD10.y","AVERAGE_MASS","TOXCAST_NUMBER_OF_ASSAYS.TOTAL","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","EPR.LEL","LPR.LEL","Chromotography","Volatile"
4402,"Perfluoro(4-methoxybutanoic) acid","863090-89-5","DTXSID60500450",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkylether carboxylic acid",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.046,NA,3.66,4.02,"1.75",NA,NA,NA,"LC","Non-Volatile"
4403,"6:2 Fluorotelomer alcohol","647-42-7","DTXSID5044572",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer alcohol",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.106,"28/675",4.09578,4.24274,"2.19786","0.000422669",NA,NA,"GC","Volatile"
4404,"Ethyl pentafluoropropionyl acetate","663-35-4","DTXSID20880144",NA,NA,NA,NA,NA,33.98992373,NA,NA,"perfluorooxo ethyl ester",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.122,NA,4.02,2.76,"2.09",NA,NA,NA,"GC","Volatile"
4405,"1H,1H-Heptafluorobutyl epoxide","1765-92-0","DTXSID10379254",NA,NA,NA,15.63013092,NA,6.466613962,NA,NA,"fluorotelomer epoxide",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.094,"-",2.25748,4.03585,"-","-",NA,NA,"GC","Volatile"
4406,"1-Iodo-1H,1H,2H,2H-perfluoroheptane","1682-31-1","DTXSID9061881",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer halide",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423.996,"-",3.89831,5.03567,"3.155","-",NA,NA,"GC","Volatile"
4407,"4:4 Fluorotelomer alcohol","2/7/3792","DTXSID60377821",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer alcohol",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.145,"-",4.25922,4.0747,"0.9977","0.00364754",NA,NA,"GC","Volatile"
4408,"1-Bromopentadecafluoroheptane","375-88-2","DTXSID9059919",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl halide",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448.957,"-",2.69873,4.39443,"7.74462","0.000376704",NA,0.046,"GC","Volatile"
4410,"Perfluamine","338-83-0","DTXSID9059834",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl amine",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.072,"-",1.56802,4.20221,"18.5353","0.000912011",NA,NA,"GC","Volatile"
4411,"Pentafluoropropionamide","354-76-7","DTXSID0059871",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl amide",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.047,"-",4.07818,0.817762,"7.34514","-",66.5,NA,"LC","Non-Volatile"
4412,"1-(Perfluorohexyl)octane","133331-77-8","DTXSID20440585",NA,NA,6.692328704,NA,NA,NA,6.692328704,NA,"fluorotelomer",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.269,NA,4.61,8.32,"0.0289",NA,100,NA,"GC","Volatile"
4413,"2-(Perfluorobutyl)ethyl acrylate","52591-27-2","DTXSID1068772",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer acrylate",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318.139,"-",3.59248,2.53939,"0.944061","-",NA,NA,"GC","Volatile"
4414,"Dimethoxymethyl((perfluorohexyl)ethyl)silane","85857-17-6","DTXSID40235137",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer silane",6,NA,NA,NA,77.91896744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.287,"-",3.76352,8.24175,"1.30017","-",NA,NA,"GC","Volatile"
4415,"Triethoxy((perfluorohexyl)ethyl)silane","51851-37-7","DTXSID1074915",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer silane",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510.367,"-",5.50424,4.83633,"0.320627","-",NA,1.23,"GC","Volatile"
4416,"2,2,2-Trifluoroethyl perfluorobutanesulfonate","79963-95-4","DTXSID60380390",NA,NA,NA,NA,NA,0.848302222,NA,0.848302222,"perfluoroalkylsulfonate ethyl ester",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.12,"-",2.18894,1.85182,"0.905733","-",NA,NA,"GC","Volatile"
4417,"3-(Perfluorohexyl)-1,2-epoxypropane","38565-52-5","DTXSID30880413",NA,NA,NA,NA,88.53005014,NA,NA,NA,"fluorotelomer epoxide",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.117,NA,3.09,5.13,"16.9",NA,NA,NA,"GC","Volatile"
4418,"(Perfluorobutyryl)-2-thenoylmethane","559-94-4","DTXSID7060332",54.3205227,NA,NA,NA,0.086705222,NA,NA,0.086705222,"perfluoroalkyl thenoyl",3,NA,NA,NA,NA,73.09599754,73.09599754,46.43170206,70.75466974,NA,NA,NA,NA,73.09599754,54.3205227,322.2,"-",5.74473,4.0499,"0.00147911","-",NA,NA,"GC","Volatile"
4419,"tris(Trifluoroethoxy)methane","58244-27-2","DTXSID30395037",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroethoxy methane",3,96.25671629,NA,NA,96.25671629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.116,NA,2.57,4.32,"2.55",NA,NA,0.046,"GC","Volatile"
4420,"3-(Perfluoropropyl)propanol","679-02-7","DTXSID60379269",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer alcohol",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.11,"-",4.08394,2.64427,"3.70681","0.0187932",NA,NA,"GC","Volatile"
4421,"Trichloro((perfluorohexyl)ethyl)silane","78560-45-9","DTXSID50229163",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer silane",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.53,"-",3.93339,6.49158,"0.440555","-",NA,NA,"GC","Volatile"
